2017-02-28 00:57:31,626 [ERROR] [main] [com.ea.cs.gui.cmd.CommandClient] .main(53) | General Exception: Exception getting sample file for idRu: 1
2017-02-28 00:57:31,638 [ERROR] [Remoting "config-based-naming-client-endpoint" task-4] [org.jboss.naming.remote.protocol.v1.RemoteNamingStoreV1] .handleEnd(222) | Channel end notification received, closing channel Channel ID 8f0ab219 (outbound) of Remoting connection 433567f1 to /127.0.0.1:4447
2017-02-28 00:57:51,221 [DEBUG] [main] [com.ea.cs.gui.cmd.CommandClient] .main(20) | Starting Client...
2017-02-28 00:57:52,535 [WARN] [Remoting "config-based-naming-client-endpoint" task-3] [org.jboss.ejb.client.remoting.ChannelAssociation] .handleMessage(392) | Unsupported message received with header 0xffffffff
2017-02-28 00:59:57,236 [ERROR] [main] [com.ea.cs.gui.cmd.CommandClient] .main(53) | General Exception: Exception getting sample file for idRu: 1
2017-02-28 00:59:57,253 [ERROR] [Remoting "config-based-naming-client-endpoint" task-3] [org.jboss.naming.remote.protocol.v1.RemoteNamingStoreV1] .handleEnd(222) | Channel end notification received, closing channel Channel ID ac8ed6c3 (outbound) of Remoting connection 433567f1 to /127.0.0.1:4447
2017-02-28 01:09:13,684 [DEBUG] [main] [com.ea.cs.gui.cmd.CommandClient] .main(20) | Starting Client...
2017-02-28 01:09:15,195 [WARN] [Remoting "config-based-naming-client-endpoint" task-3] [org.jboss.ejb.client.remoting.ChannelAssociation] .handleMessage(392) | Unsupported message received with header 0xffffffff
2017-02-28 01:09:38,156 [ERROR] [main] [com.ea.cs.gui.cmd.CommandClient] .main(53) | General Exception: Exception getting sample file for idRu: 1
2017-02-28 01:09:38,171 [ERROR] [Remoting "config-based-naming-client-endpoint" task-4] [org.jboss.naming.remote.protocol.v1.RemoteNamingStoreV1] .handleEnd(222) | Channel end notification received, closing channel Channel ID 90e6aeca (outbound) of Remoting connection 673b21af to /127.0.0.1:4447
2017-02-28 01:15:33,366 [DEBUG] [main] [com.ea.cs.gui.cmd.CommandClient] .main(20) | Starting Client...
2017-02-28 01:15:34,968 [WARN] [Remoting "config-based-naming-client-endpoint" task-3] [org.jboss.ejb.client.remoting.ChannelAssociation] .handleMessage(392) | Unsupported message received with header 0xffffffff
2017-02-28 01:15:35,836 [ERROR] [main] [com.ea.cs.gui.cmd.CommandClient] .main(53) | General Exception: Exception getting sample file for idRu: 1
2017-02-28 01:15:35,847 [ERROR] [Remoting "config-based-naming-client-endpoint" task-4] [org.jboss.naming.remote.protocol.v1.RemoteNamingStoreV1] .handleEnd(222) | Channel end notification received, closing channel Channel ID b71f4cce (outbound) of Remoting connection 673b21af to /127.0.0.1:4447
2017-02-28 01:19:10,041 [DEBUG] [main] [com.ea.cs.gui.cmd.CommandClient] .main(20) | Starting Client...
2017-02-28 01:19:11,577 [WARN] [Remoting "config-based-naming-client-endpoint" task-3] [org.jboss.ejb.client.remoting.ChannelAssociation] .handleMessage(392) | Unsupported message received with header 0xffffffff
2017-02-28 01:19:12,333 [ERROR] [main] [com.ea.cs.gui.cmd.CommandClient] .main(53) | General Exception: Exception getting sample file for idRu: 1
2017-02-28 01:19:12,357 [ERROR] [Remoting "config-based-naming-client-endpoint" task-3] [org.jboss.naming.remote.protocol.v1.RemoteNamingStoreV1] .handleEnd(222) | Channel end notification received, closing channel Channel ID f1887338 (outbound) of Remoting connection 673b21af to /127.0.0.1:4447
2017-02-28 01:21:57,399 [DEBUG] [main] [com.ea.cs.gui.cmd.CommandClient] .main(20) | Starting Client...
2017-02-28 01:21:58,777 [WARN] [Remoting "config-based-naming-client-endpoint" task-3] [org.jboss.ejb.client.remoting.ChannelAssociation] .handleMessage(392) | Unsupported message received with header 0xffffffff
2017-02-28 01:22:01,144 [ERROR] [Remoting "config-based-naming-client-endpoint" task-4] [org.jboss.naming.remote.protocol.v1.RemoteNamingStoreV1] .handleEnd(222) | Channel end notification received, closing channel Channel ID dbdec55a (outbound) of Remoting connection 48d3b591 to /127.0.0.1:4447
2017-02-28 01:24:34,042 [DEBUG] [main] [com.ea.cs.gui.cmd.CommandClient] .main(20) | Starting Client...
2017-02-28 01:24:35,426 [WARN] [Remoting "config-based-naming-client-endpoint" task-3] [org.jboss.ejb.client.remoting.ChannelAssociation] .handleMessage(392) | Unsupported message received with header 0xffffffff
2017-02-28 01:24:35,939 [ERROR] [Remoting "config-based-naming-client-endpoint" task-4] [org.jboss.naming.remote.protocol.v1.RemoteNamingStoreV1] .handleEnd(222) | Channel end notification received, closing channel Channel ID 8de26945 (outbound) of Remoting connection 673b21af to /127.0.0.1:4447
2017-02-28 01:27:37,812 [DEBUG] [main] [com.ea.cs.gui.cmd.CommandClient] .main(20) | Starting Client...
2017-02-28 01:27:39,502 [WARN] [Remoting "config-based-naming-client-endpoint" task-3] [org.jboss.ejb.client.remoting.ChannelAssociation] .handleMessage(392) | Unsupported message received with header 0xffffffff
2017-02-28 01:27:40,066 [ERROR] [Remoting "config-based-naming-client-endpoint" task-1] [org.jboss.naming.remote.protocol.v1.RemoteNamingStoreV1] .handleEnd(222) | Channel end notification received, closing channel Channel ID 8e76e009 (outbound) of Remoting connection 433567f1 to /127.0.0.1:4447
2017-02-28 10:07:04,028 [DEBUG] [main] [com.ea.cs.gui.cmd.CommandClient] .main(20) | Starting Client...
2017-02-28 10:07:05,520 [WARN] [Remoting "config-based-naming-client-endpoint" task-3] [org.jboss.ejb.client.remoting.ChannelAssociation] .handleMessage(392) | Unsupported message received with header 0xffffffff
2017-02-28 10:07:06,047 [ERROR] [Remoting "config-based-naming-client-endpoint" task-4] [org.jboss.naming.remote.protocol.v1.RemoteNamingStoreV1] .handleEnd(222) | Channel end notification received, closing channel Channel ID e5a9f74f (outbound) of Remoting connection 3dda9c8b to /127.0.0.1:4447
2017-02-28 10:10:54,541 [DEBUG] [main] [com.ea.cs.gui.cmd.CommandClient] .main(20) | Starting Client...
2017-02-28 10:10:56,183 [WARN] [Remoting "config-based-naming-client-endpoint" task-3] [org.jboss.ejb.client.remoting.ChannelAssociation] .handleMessage(392) | Unsupported message received with header 0xffffffff
2017-02-28 10:10:57,638 [ERROR] [Remoting "config-based-naming-client-endpoint" task-1] [org.jboss.naming.remote.protocol.v1.RemoteNamingStoreV1] .handleEnd(222) | Channel end notification received, closing channel Channel ID c62da319 (outbound) of Remoting connection 673b21af to /127.0.0.1:4447
2017-02-28 10:43:15,212 [DEBUG] [main] [com.ea.cs.gui.cmd.CommandClient] .main(20) | Starting Client...
2017-02-28 10:43:16,830 [WARN] [Remoting "config-based-naming-client-endpoint" task-3] [org.jboss.ejb.client.remoting.ChannelAssociation] .handleMessage(392) | Unsupported message received with header 0xffffffff
2017-02-28 10:43:18,823 [ERROR] [main] [com.ea.cs.gui.cmd.CommandClient] .main(53) | General Exception: Exception getting sample file for idRu: 1
2017-02-28 10:43:18,837 [ERROR] [Remoting "config-based-naming-client-endpoint" task-4] [org.jboss.naming.remote.protocol.v1.RemoteNamingStoreV1] .handleEnd(222) | Channel end notification received, closing channel Channel ID e92a8ec2 (outbound) of Remoting connection 433567f1 to /127.0.0.1:4447
2017-02-28 10:48:25,502 [DEBUG] [main] [com.ea.cs.gui.cmd.CommandClient] .main(20) | Starting Client...
2017-02-28 10:48:26,993 [WARN] [Remoting "config-based-naming-client-endpoint" task-3] [org.jboss.ejb.client.remoting.ChannelAssociation] .handleMessage(392) | Unsupported message received with header 0xffffffff
2017-02-28 10:48:29,014 [ERROR] [main] [com.ea.cs.gui.cmd.CommandClient] .main(53) | General Exception: Exception getting sample file for idRu: 1
2017-02-28 10:48:29,027 [ERROR] [Remoting "config-based-naming-client-endpoint" task-4] [org.jboss.naming.remote.protocol.v1.RemoteNamingStoreV1] .handleEnd(222) | Channel end notification received, closing channel Channel ID c31ac9a9 (outbound) of Remoting connection 433567f1 to /127.0.0.1:4447
2017-02-28 10:50:46,445 [DEBUG] [main] [com.ea.cs.gui.cmd.CommandClient] .main(20) | Starting Client...
2017-02-28 10:50:47,944 [WARN] [Remoting "config-based-naming-client-endpoint" task-3] [org.jboss.ejb.client.remoting.ChannelAssociation] .handleMessage(392) | Unsupported message received with header 0xffffffff
2017-02-28 10:50:50,203 [ERROR] [Remoting "config-based-naming-client-endpoint" task-4] [org.jboss.naming.remote.protocol.v1.RemoteNamingStoreV1] .handleEnd(222) | Channel end notification received, closing channel Channel ID 932495a4 (outbound) of Remoting connection 673b21af to /127.0.0.1:4447
2017-02-28 10:52:34,636 [DEBUG] [main] [com.ea.cs.gui.cmd.CommandClient] .main(20) | Starting Client...
2017-02-28 10:52:35,930 [WARN] [Remoting "config-based-naming-client-endpoint" task-3] [org.jboss.ejb.client.remoting.ChannelAssociation] .handleMessage(392) | Unsupported message received with header 0xffffffff
2017-02-28 10:52:36,811 [ERROR] [Remoting "config-based-naming-client-endpoint" task-4] [org.jboss.naming.remote.protocol.v1.RemoteNamingStoreV1] .handleEnd(222) | Channel end notification received, closing channel Channel ID cdfd03e4 (outbound) of Remoting connection 433567f1 to /127.0.0.1:4447
2017-02-28 10:53:07,184 [DEBUG] [main] [com.ea.cs.gui.cmd.CommandClient] .main(20) | Starting Client...
2017-02-28 10:53:08,444 [WARN] [Remoting "config-based-naming-client-endpoint" task-3] [org.jboss.ejb.client.remoting.ChannelAssociation] .handleMessage(392) | Unsupported message received with header 0xffffffff
2017-02-28 10:53:09,565 [ERROR] [Remoting "config-based-naming-client-endpoint" task-1] [org.jboss.naming.remote.protocol.v1.RemoteNamingStoreV1] .handleEnd(222) | Channel end notification received, closing channel Channel ID fc93a043 (outbound) of Remoting connection 433567f1 to /127.0.0.1:4447
